"","entire","exp ID","Cell Type","trtmnt amnt","trtmnt type","data type"
"102","B2KO1-46_H_1_Nira_2.txt#Reads","46","H",1,"Nira","#"
"103","B2KO1-46_H_1_Nira_2.txt%Reads","46","H",1,"Nira","%"
"104","B2KO1-47_H_2_Nira_1.txt#Reads","47","H",2,"Nira","#"
"105","B2KO1-47_H_2_Nira_1.txt%Reads","47","H",2,"Nira","%"
"106","B2KO1-48_H_2_Nira_2.txt#Reads","48","H",2,"Nira","#"
"107","B2KO1-48_H_2_Nira_2.txt%Reads","48","H",2,"Nira","%"
"108","B2KO1-49_D_unt_1.txt#Reads","49","D",0,"unt","#"
"109","B2KO1-49_D_unt_1.txt%Reads","49","D",0,"unt","%"
"110","B2KO1-50_D_unt_2.txt#Reads","50","D",0,"unt","#"
"111","B2KO1-50_D_unt_2.txt%Reads","50","D",0,"unt","%"
"112","B2KO1-52_H_unt_1.txt#Reads","52","H",0,"unt","#"
"113","B2KO1-52_H_unt_1.txt%Reads","52","H",0,"unt","%"
"114","B2KO1-53_H_unt_2.txt#Reads","53","H",0,"unt","#"
"115","B2KO1-53_H_unt_2.txt%Reads","53","H",0,"unt","%"
